SVCCD,Description,CPT,Gross.Charge,As.of.Date,DISCOUNTED.CASH.PRICE.INPATIENT,DISCOUNTED.CASH.PRICE.OUTPATIENT,DE.IDENTIFIED.MIN,DE.IDENTIFIED.MAX,BC.BS.TN.Preferred,BC.BS.TN.Select,BC.BS.TN.CHS.Employees,CIGNA,Aetna,Humana,Centene.Ambetter.HIX,Multiplan,UHC.Comm.Plan.Americhoice.MCD,Amerigroup.MCD,BC.BS...BlueCare.MCD,Humana.Gold.Choice.MCR,United.Healthcare...Secure.MCR,BCBS.MCR,HealthSpring.CIGNA.MCR,Amerigroup.MCR,Aetna.MCR,Wellcare.MCR
1219403,HYDROXYZINE 50MG TAB,NA,4.24,2/6/2022,0.97308,0.97308,0.27136,1.62392,0.80984,0.55968,0.92856,0.88192,0.98368,0.55968,0.77592,1.62392,0.35192,0.35616,0.27136,0.4664,0.47064,0.48336,0.5512,0.49184,0.51304,0.47912
7211359,STER WATER IRR 500ML,NA,9.87,2/6/2022,2.265165,2.265165,0.63168,3.78021,1.88517,1.30284,2.16153,2.05296,2.28984,1.30284,1.80621,3.78021,0.81921,0.82908,0.63168,1.0857,1.09557,1.12518,1.2831,1.14492,1.19427,1.11531
2811854,S-PERC ABLT LIVER RF,SURG,27922.1,2/6/2022,6408.12195,6408.12195,1787.0144,10694.1643,5333.1211,3685.7172,6114.9399,5807.7968,6477.9272,3685.7172,5109.7443,10694.1643,2317.5343,2345.4564,1787.0144,3071.431,3099.3531,3183.1194,3629.873,3238.9636,3378.5741,3155.1973
7212056,D5W/SOD CHL.9% 500ML,J7042,82.54,2/6/2022,18.94293,18.94293,5.28256,31.61282,15.76514,10.89528,18.07626,17.16832,19.14928,10.89528,15.10482,31.61282,6.85082,6.93336,5.28256,9.0794,9.16194,9.40956,10.7302,9.57464,9.98734,9.32702
2811421,S-INJ KNEE ARTHRO,27369,809.87,2/6/2022,185.865165,185.865165,51.83168,310.18021,154.68517,106.90284,177.36153,168.45296,187.88984,106.90284,148.20621,310.18021,67.21921,68.02908,51.83168,89.0857,89.89557,92.32518,105.2831,93.94492,97.99427,91.51531
2896132,FACTOR XI,85270,294.67,2/6/2022,67.626765,67.626765,18.85888,112.85861,56.28197,38.89644,64.53273,61.29136,68.36344,38.89644,53.92461,112.85861,24.45761,24.75228,18.85888,32.4137,32.70837,33.59238,38.3071,34.18172,35.65507,33.29771
2852002,MSED SAMEGT5 1ST15,99152,740.34,2/6/2022,169.90803,169.90803,47.38176,283.55022,141.40494,97.72488,162.13446,153.99072,171.75888,97.72488,135.48222,283.55022,61.44822,62.18856,47.38176,81.4374,82.17774,84.39876,96.2442,85.87944,89.58114,83.65842
1651144,NM-HEPATOBIL W PHARM,78227,4116.86,2/6/2022,944.81937,944.81937,263.47904,1576.75738,786.32026,543.42552,901.59234,856.30688,955.11152,543.42552,753.38538,1576.75738,341.69938,345.81624,263.47904,452.8546,456.97146,469.32204,535.1918,477.55576,498.14006,465.20518
1212314,METHYLPREDNIS 4MG PO,J7509,39.15,2/6/2022,8.984925,8.984925,2.5056,14.99445,7.47765,5.1678,8.57385,8.1432,9.0828,5.1678,7.16445,14.99445,3.24945,3.2886,2.5056,4.3065,4.34565,4.4631,5.0895,4.5414,4.73715,4.42395
1217992,METRONIDAZOL 250MGTB,NA,3.77,2/6/2022,0.865215,0.865215,0.24128,1.44391,0.72007,0.49764,0.82563,0.78416,0.87464,0.49764,0.68991,1.44391,0.31291,0.31668,0.24128,0.4147,0.41847,0.42978,0.4901,0.43732,0.45617,0.42601
7210185,MULTIVITAMIN LIQ 5ML,NA,1.5,2/6/2022,0.34425,0.34425,0.096,0.5745,0.2865,0.198,0.3285,0.312,0.348,0.198,0.2745,0.5745,0.1245,0.126,0.096,0.165,0.1665,0.171,0.195,0.174,0.1815,0.1695
1030002,"EMG, 1 EXTREM",95860,484.13,2/6/2022,111.107835,111.107835,30.98432,185.42179,92.46883,63.90516,106.02447,100.69904,112.31816,63.90516,88.59579,185.42179,40.18279,40.66692,30.98432,53.2543,53.73843,55.19082,62.9369,56.15908,58.57973,54.70669
1030041,"EMG, CRAN NERVE UNI",95867,416.76,2/6/2022,95.64642,95.64642,26.67264,159.61908,79.60116,55.01232,91.27044,86.68608,96.68832,55.01232,76.267080000000007,159.61908,34.59108,35.00784,26.67264,45.8436,46.26036,47.51064,54.1788,48.34416,50.42796,47.09388
1061251,IC-ATHERCT CORO INI,92924,49082.21,2/6/2022,11264.3672,11264.3672,3141.26144,18798.48643,9374.70211,6478.85172,10749.00399,10209.09968,11387.07272,6478.85172,8982.04443,18798.48643,4073.82343,4122.90564,3141.26144,5399.0431,5448.12531,5595.37194,6380.6873,5693.53636,5938.94741,5546.28973
2892260,TOPIRAMATE,80201,660.93,2/6/2022,151.683435,151.683435,42.29952,253.13619,126.23763,87.24276,144.74367,137.47344,153.33576,87.24276,120.95019,253.13619,54.85719,55.51812,42.29952,72.7023,73.36323,75.34602,85.9209,76.66788,79.97253,74.68509
1612149,SP-THORACOLMBR 2V CR,72080,768.29,2/6/2022,176.322555,176.322555,49.17056,294.25507,146.74339,101.41428,168.25551,159.80432,178.24328,101.41428,140.59707,294.25507,63.76807,64.53636,49.17056,84.5119,85.28019,87.58506,99.8777,89.12164,92.96309,86.81677
1213928,MORPHINE UP TO 10MG,J2270,17.06,2/6/2022,3.91527,3.91527,1.09184,6.53398,3.25846,2.25192,3.73614,3.54848,3.95792,2.25192,3.12198,6.53398,1.41598,1.43304,1.09184,1.8766,1.89366,1.94484,2.2178,1.97896,2.06426,1.92778
1663491,MR-UPPER JNT BI WWO,73223,8072.04,2/6/2022,1852.53318,1852.53318,516.61056,3091.59132,1541.75964,1065.50928,1767.77676,1678.98432,1872.71328,1065.50928,1477.18332,3091.59132,669.97932,678.05136,516.61056,887.9244,895.99644,920.21256,1049.3652,936.35664,976.71684,912.14052
7210760,COENZYME Q10 100MGCP,NA,1.5,2/6/2022,0.34425,0.34425,0.096,0.5745,0.2865,0.198,0.3285,0.312,0.348,0.198,0.2745,0.5745,0.1245,0.126,0.096,0.165,0.1665,0.171,0.195,0.174,0.1815,0.1695
1612232,FL-IVP CR,74400,1861.15,2/6/2022,427.133925,427.133925,119.1136,712.82045,355.47965,245.6718,407.59185,387.1192,431.7868,245.6718,340.59045,712.82045,154.47545,156.3366,119.1136,204.7265,206.58765,212.1711,241.9495,215.8934,225.19915,210.30995
2895821,"PHOSPHORUS, BLOOD",84100,84.34,2/6/2022,19.35603,19.35603,5.39776,32.30222,16.10894,11.13288,18.47046,17.54272,19.56688,11.13288,15.43422,32.30222,7.00022,7.08456,5.39776,9.2774,9.36174,9.61476,10.9642,9.78344,10.20514,9.53042
1211039,GENTAMICIN UPTO 80MG,J1580,74.56,2/6/2022,17.11152,17.11152,4.77184,28.55648,14.24096,9.84192,16.32864,15.50848,17.29792,9.84192,13.64448,28.55648,6.18848,6.26304,4.77184,8.2016,8.27616,8.49984,9.6928,8.64896,9.02176,8.42528
2895582,CHLAMYDIA AB,86631,203.43,2/6/2022,46.687185,46.687185,13.01952,77.91369,38.85513,26.85276,44.55117,42.31344,47.19576,26.85276,37.22769,77.91369,16.88469,17.08812,13.01952,22.3773,22.58073,23.19102,26.4459,23.59788,24.61503,22.98759
1551250,S-EVLT,SURG,585.08,2/6/2022,134.27586,134.27586,37.44512,224.08564,111.75028,77.23056,128.13252,121.69664,135.73856,77.23056,107.06964,224.08564,48.56164,49.14672,37.44512,64.3588,64.94388,66.69912,76.0604,67.86928,70.79468,66.11404
1321062,CHROMOSOME ANAL-PLAC,88267,2217.8,2/6/2022,508.9851,508.9851,141.9392,849.4174,423.5998,292.7496,485.6982,461.3024,514.5296,292.7496,405.8574,849.4174,184.0774,186.2952,141.9392,243.958,246.1758,252.8292,288.314,257.2648,268.3538,250.6114
2895834,"DETECT AGT MULT,DNAA",87801,987.23,2/6/2022,226.569285,226.569285,63.18272,378.10909,188.56093,130.31436,216.20337,205.34384,229.03736,130.31436,180.66309,378.10909,81.94009,82.92732,63.18272,108.5953,109.58253,112.54422,128.3399,114.51868,119.45483,111.55699
2811942,S-SKIN BIOP TANG 1LE,SURG,1667.32,2/6/2022,382.64994,382.64994,106.70848,638.58356,318.45812,220.08624,365.14308,346.80256,386.81824,220.08624,305.11956,638.58356,138.38756,140.05488,106.70848,183.4052,185.07252,190.07448,216.7516,193.40912,201.74572,188.40716
1218923,ASPIRIN 600MG SUPP,NA,3.79,2/6/2022,0.869805,0.869805,0.24256,1.45157,0.72389,0.50028,0.83001,0.78832,0.87928,0.50028,0.69357,1.45157,0.31457,0.31836,0.24256,0.4169,0.42069,0.43206,0.4927,0.43964,0.45859,0.42827
1855027,ELE STM-MN-15MN COTA,97032,394.18,2/6/2022,90.46431,90.46431,25.22752,150.97094,75.28838,52.03176,86.32542,81.98944,91.44976,52.03176,72.13494,150.97094,32.71694,33.11112,25.22752,43.3598,43.75398,44.93652,51.2434,45.72488,47.69578,44.54234
1218083,NICOTINE 14MG/24HR P,NA,5.49,2/6/2022,1.259955,1.259955,0.35136,2.10267,1.04859,0.72468,1.20231,1.14192,1.27368,0.72468,1.00467,2.10267,0.45567,0.46116,0.35136,0.6039,0.60939,0.62586,0.7137,0.63684,0.66429,0.62037
1212403,CYCLOPENTO 1%OS 15ML,NA,74.2,2/6/2022,17.0289,17.0289,4.7488,28.4186,14.1722,9.7944,16.2498,15.4336,17.2144,9.7944,13.5786,28.4186,6.1586,6.2328,4.7488,8.162,8.2362,8.4588,9.646,8.6072,8.9782,8.3846
2896036,DRUG UNSPEC QUANT,80299,311.49,2/6/2022,71.486955,71.486955,19.93536,119.30067,59.49459,41.11668,68.216309999999993,64.78992,72.26568,41.11668,57.00267,119.30067,25.85367,26.16516,19.93536,34.2639,34.57539,35.50986,40.4937,36.13284,37.69029,35.19837
1061287,P-REMOV ICD LEAD,SURG,14775.15,2/6/2022,3390.896925,3390.896925,945.6096,5658.88245,2822.05365,1950.3198,3235.75785,3073.2312,3427.8348,1950.3198,2703.85245,5658.88245,1226.33745,1241.1126,945.6096,1625.2665,1640.04165,1684.3671,1920.7695,1713.9174,1787.79315,1669.59195
1855040,SENS INTG-15MIN COTA,97533,164.92,2/6/2022,37.84914,37.84914,10.55488,63.16436,31.49972,21.76944,36.11748,34.30336,38.26144,21.76944,30.18036,63.16436,13.68836,13.85328,10.55488,18.1412,18.30612,18.80088,21.4396,19.13072,19.95532,18.63596
1612225,FL-ENDO PANCREATIC,74329,754.51,2/6/2022,173.160045,173.160045,48.28864,288.97733,144.11141,99.59532,165.23769,156.93808,175.04632,99.59532,138.07533,288.97733,62.62433,63.37884,48.28864,82.9961,83.75061,86.01414,98.0863,87.52316,91.29571,85.25963
1213625,CEFDIN 125MG/5ML 5ML,NA,11.24,2/6/2022,2.57958,2.57958,0.71936,4.30492,2.14684,1.48368,2.46156,2.33792,2.60768,1.48368,2.05692,4.30492,0.93292,0.94416,0.71936,1.2364,1.24764,1.28136,1.4612,1.30384,1.36004,1.27012
1212882,MICONAZOLE 2%PWD 45G,NA,1.5,2/6/2022,0.34425,0.34425,0.096,0.5745,0.2865,0.198,0.3285,0.312,0.348,0.198,0.2745,0.5745,0.1245,0.126,0.096,0.165,0.1665,0.171,0.195,0.174,0.1815,0.1695
1641049,MRA-HEAD WO,70544,5307.73,2/6/2022,1218.124035,1218.124035,339.69472,2032.86059,1013.77643,700.62036,1162.39287,1104.00784,1231.39336,700.62036,971.31459,2032.86059,440.54159,445.84932,339.69472,583.8503,589.15803,605.08122,690.0049,615.69668,642.23533,599.77349
1219346,FLUVOXAMINE 100MG TB,NA,6.6,2/6/2022,1.5147,1.5147,0.4224,2.5278,1.2606,0.8712,1.4454,1.3728,1.5312,0.8712,1.2078,2.5278,0.5478,0.5544,0.4224,0.726,0.7326,0.7524,0.858,0.7656,0.7986,0.7458
1217512,LEVOTHYROXINE 150MCG,NA,10.11,2/6/2022,2.320245,2.320245,0.64704,3.87213,1.93101,1.33452,2.21409,2.10288,2.34552,1.33452,1.85013,3.87213,0.83913,0.84924,0.64704,1.1121,1.12221,1.15254,1.3143,1.17276,1.22331,1.14243
1212245,TOCILIZUMAB 1MG INJ,J3262,20.89,2/6/2022,4.794255,4.794255,1.33696,8.00087,3.98999,2.75748,4.57491,4.34512,4.84648,2.75748,3.82287,8.00087,1.73387,1.75476,1.33696,2.2979,2.31879,2.38146,2.7157,2.42324,2.52769,2.36057
2892395,"PH FLUID,NOS",83986,103.82,2/6/2022,23.82669,23.82669,6.64448,39.76306,19.82962,13.70424,22.73658,21.59456,24.08624,13.70424,18.99906,39.76306,8.61706,8.72088,6.64448,11.4202,11.52402,11.83548,13.4966,12.04312,12.56222,11.73166
282824,IMM ADM HEP B VACCIN,G0010,142.1,2/6/2022,32.61195,32.61195,9.0944,54.4243,27.1411,18.7572,31.1199,29.5568,32.9672,18.7572,26.0043,54.4243,11.7943,11.9364,9.0944,15.631,15.7731,16.1994,18.473,16.4836,17.1941,16.0573
7211526,MORPH 20MG/ML OR.5ML,NA,21.61,2/6/2022,4.959495,4.959495,1.38304,8.27663,4.12751,2.85252,4.73259,4.49488,5.01352,2.85252,3.95463,8.27663,1.79363,1.81524,1.38304,2.3771,2.39871,2.46354,2.8093,2.50676,2.61481,2.44193
1621524,US-FETAL BIO NONST,76819,883.15,2/6/2022,202.682925,202.682925,56.5216,338.24645,168.68165,116.5758,193.40985,183.6952,204.8908,116.5758,161.61645,338.24645,73.30145,74.1846,56.5216,97.1465,98.02965,100.6791,114.8095,102.4454,106.86115,99.79595
1410076,LEAD AICD END DUL L6,C1895,40290.36,2/6/2022,9246.63762,9246.63762,2578.58304,15431.20788,7695.45876,5318.32752,8823.58884,8380.39488,9347.36352,5318.32752,7373.13588,15431.20788,3344.09988,3384.39024,2578.58304,4431.9396,4472.22996,4593.10104,5237.7468,4673.68176,4875.13356,4552.81068
1314625,ISLET CELL AB,86341,183.54,2/6/2022,42.12243,42.12243,11.74656,70.29582,35.05614,24.22728,40.19526,38.17632,42.58128,24.22728,33.58782,70.29582,15.23382,15.41736,11.74656,20.1894,20.37294,20.92356,23.8602,21.29064,22.20834,20.74002
1221209,AA5 D15W 2000ML,NA,231.77,2/6/2022,53.191215,53.191215,14.83328,88.76791,44.26807,30.59364,50.75763,48.20816,53.77064,30.59364,42.41391,88.76791,19.23691,19.46868,14.83328,25.4947,25.72647,26.42178,30.1301,26.88532,28.04417,26.19001
1311073,BLOOD PRODUCT IRRAD,86945,370.95,2/6/2022,85.133025,85.133025,23.7408,142.07385,70.85145,48.9654,81.23805,77.1576,86.0604,48.9654,67.88385,142.07385,30.78885,31.1598,23.7408,40.8045,41.17545,42.2883,48.2235,43.0302,44.88495,41.91735
1314879,MICROBE SUSCEP DISK,87184,118.58,2/6/2022,27.21411,27.21411,7.58912,45.41614,22.64878,15.65256,25.96902,24.66464,27.51056,15.65256,21.70014,45.41614,9.84214,9.96072,7.58912,13.0438,13.16238,13.51812,15.4154,13.75528,14.34818,13.39954
1211255,FENT 10MCG/ML NS50ML,NA,74.59,2/6/2022,17.118405,17.118405,4.77376,28.56797,14.24669,9.84588,16.33521,15.51472,17.30488,9.84588,13.64997,28.56797,6.19097,6.26556,4.77376,8.2049,8.27949,8.50326,9.6967,8.65244,9.02539,8.42867
2892456,ANTI-ENA,86235,322.4,2/6/2022,73.9908,73.9908,20.6336,123.4792,61.5784,42.5568,70.6056,67.0592,74.7968,42.5568,58.9992,123.4792,26.7592,27.0816,20.6336,35.464,35.7864,36.7536,41.912,37.3984,39.0104,36.4312
7211990,DEFEROXAMIN 500MGINJ,J0895,74.64,2/6/2022,17.12988,17.12988,4.77696,28.58712,14.25624,9.85248,16.34616,15.52512,17.31648,9.85248,13.65912,28.58712,6.19512,6.26976,4.77696,8.2104,8.28504,8.50896,9.7032,8.65824,9.03144,8.43432
1691085,IR-ANGIO SPINAL,75705,25964.32,2/6/2022,5958.81144,5958.81144,1661.71648,9944.33456,4959.18512,3427.29024,5686.18608,5400.57856,6023.72224,3427.29024,4751.47056,9944.33456,2155.03856,2181.00288,1661.71648,2856.0752,2882.03952,2959.93248,3375.3616,3011.86112,3141.68272,2933.96816
1212641,HYDROMORPH UP TO 4MG,J1170,74.55,2/6/2022,17.109225,17.109225,4.7712,28.55265,14.23905,9.8406,16.32645,15.5064,17.2956,9.8406,13.64265,28.55265,6.18765,6.2622,4.7712,8.2005,8.27505,8.4987,9.6915,8.6478,9.02055,8.42415
1414426,CATH-RETRIEVAL 2,C1773,2727.71,2/6/2022,626.009445,626.009445,174.57344,1044.71293,520.99261,360.05772,597.36849,567.36368,632.82872,360.05772,499.17093,1044.71293,226.39993,229.12764,174.57344,300.0481,302.77581,310.95894,354.6023,316.41436,330.05291,308.23123
1522122,REFIL MAIN PORT PUMP,96521,1130,2/6/2022,259.335,259.335,72.32,432.79,215.83,149.16,247.47,235.04,262.16,149.16,206.79,432.79,93.79,94.92,72.32,124.3,125.43,128.82,146.9,131.08,136.73,127.69
1691069,IR-SHUNTOGRAM,75809,484.41,2/6/2022,111.172095,111.172095,31.00224,185.52903,92.52231,63.94212,106.08579,100.75728,112.38312,63.94212,88.64703,185.52903,40.20603,40.69044,31.00224,53.2851,53.76951,55.22274,62.9733,56.19156,58.61361,54.73833
2892742,ZONISAMIDE QT,80203,138.6,2/6/2022,31.8087,31.8087,8.8704,53.0838,26.4726,18.2952,30.3534,28.8288,32.1552,18.2952,25.3638,53.0838,11.5038,11.6424,8.8704,15.246,15.3846,15.8004,18.018,16.0776,16.7706,15.6618
1641021,MR-ABDOMEN W,74182,5751.7,2/6/2022,1320.01515,1320.01515,368.1088,2202.9011,1098.5747,759.2244,1259.6223,1196.3536,1334.3944,759.2244,1052.5611,2202.9011,477.3911,483.1428,368.1088,632.687,638.4387,655.6938,747.721,667.1972,695.9557,649.9421
1221029,STERILE WATER 20ML,NA,74.56,2/6/2022,17.11152,17.11152,4.77184,28.55648,14.24096,9.84192,16.32864,15.50848,17.29792,9.84192,13.64448,28.55648,6.18848,6.26304,4.77184,8.2016,8.27616,8.49984,9.6928,8.64896,9.02176,8.42528
2894727,CATECHOL FRACTNTD,82384,715.81,2/6/2022,164.278395,164.278395,45.81184,274.15523,136.71971,94.48692,156.76239,148.88848,166.06792,94.48692,130.99323,274.15523,59.41223,60.12804,45.81184,78.7391,79.45491,81.60234,93.0553,83.03396,86.61301,80.88653
1551256,VN-END ABL CHM ADH 1,SURG,18707.57,2/6/2022,4293.387315,4293.387315,1197.28448,7164.99931,3573.14587,2469.39924,4096.95783,3891.17456,4340.15624,2469.39924,3423.48531,7164.99931,1552.72831,1571.43588,1197.28448,2057.8327,2076.54027,2132.66298,2431.9841,2170.07812,2263.61597,2113.95541
2895888,OPIOIDS OP AN MS 5PL,80364,230.16,2/6/2022,52.82172,52.82172,14.73024,88.15128,43.96056,30.38112,50.40504,47.87328,53.39712,30.38112,42.11928,88.15128,19.10328,19.33344,14.73024,25.3176,25.54776,26.23824,29.9208,26.69856,27.84936,26.00808
2892823,CFTR GENE ANALY CV,81220,527.34,2/6/2022,121.02453,121.02453,33.74976,201.97122,100.72194,69.60888,115.48746,109.68672,122.34288,69.60888,96.50322,201.97122,43.76922,44.29656,33.74976,58.0074,58.53474,60.11676,68.5542,61.17144,63.80814,59.58942
2892055,VITAMIN A,84590,309.98,2/6/2022,71.14041,71.14041,19.83872,118.72234,59.20618,40.91736,67.88562,64.47584,71.91536,40.91736,56.72634,118.72234,25.72834,26.03832,19.83872,34.0978,34.40778,35.33772,40.2974,35.95768,37.50758,35.02774
1213134,MORPHINE PF 10MG INJ,J2274,127.44,2/6/2022,29.24748,29.24748,8.15616,48.80952,24.34104,16.82208,27.90936,26.50752,29.56608,16.82208,23.32152,48.80952,10.57752,10.70496,8.15616,14.0184,14.14584,14.52816,16.5672,14.78304,15.42024,14.40072
2895693,CHEMILUM ASSAY NOS,82397,287.52,2/6/2022,65.98584,65.98584,18.40128,110.12016,54.91632,37.95264,62.96688,59.80416,66.70464,37.95264,52.61616,110.12016,23.86416,24.15168,18.40128,31.6272,31.91472,32.77728,37.3776,33.35232,34.78992,32.48976
135120,R&B M/S SEMI PRIVATE,NA,1170.93,2/6/2022,268.728435,268.728435,74.93952,448.46619,223.64763,154.56276,256.43367,243.55344,271.65576,154.56276,214.28019,448.46619,97.18719,98.35812,74.93952,128.8023,129.97323,133.48602,152.2209,135.82788,141.68253,132.31509
1217652,FAMOTIDINE 20MG TAB,NA,1.86,2/6/2022,0.42687,0.42687,0.11904000000000001,0.71238,0.35526,0.24552,0.40734,0.38688,0.43152,0.24552,0.34038,0.71238,0.15438,0.15624,0.11904000000000001,0.2046,0.20646,0.21204,0.2418,0.21576,0.22506,0.21018
2895773,MUMPS AB,86735,267.23,2/6/2022,61.329285,61.329285,17.10272,102.34909,51.04093,35.27436,58.52337,55.58384,61.99736,35.27436,48.90309,102.34909,22.18009,22.44732,17.10272,29.3953,29.66253,30.46422,34.7399,30.99868,32.33483,30.19699
7211116,DORZOLAMID 2%OS 10ML,NA,57.63,2/6/2022,13.226085,13.226085,3.68832,22.07229,11.00733,7.60716,12.62097,11.98704,13.37016,7.60716,10.54629,22.07229,4.78329,4.84092,3.68832,6.3393,6.39693,6.56982,7.4919,6.68508,6.97323,6.51219
1314410,PARATHORMONE PTH,83970,667.92,2/6/2022,153.28764,153.28764,42.74688,255.81336,127.57272,88.16544,146.27448,138.92736,154.95744,88.16544,122.22936,255.81336,55.43736,56.10528,42.74688,73.4712,74.13912,76.14288,86.8296,77.47872,80.81832,75.47496
1217261,FLUOXETINE 20MG CAP,NA,1.65,2/6/2022,0.378675,0.378675,0.1056,0.63195,0.31515,0.2178,0.36135,0.3432,0.3828,0.2178,0.30195,0.63195,0.13695,0.1386,0.1056,0.1815,0.18315,0.1881,0.2145,0.1914,0.19965,0.18645
2891475,BENZODIAZ MS 1-12,80346,330.15,2/6/2022,75.769425,75.769425,21.1296,126.44745,63.05865,43.5798,72.30285,68.6712,76.5948,43.5798,60.41745,126.44745,27.40245,27.7326,21.1296,36.3165,36.64665,37.6371,42.9195,38.2974,39.94815,37.30695
1691248,IR-VASC EMB OCC BLED,SURG,57515.01,2/6/2022,13199.6948,13199.6948,3680.96064,22028.24883,10985.36691,7591.98132,12595.78719,11963.12208,13343.48232,7591.98132,10525.24683,22028.24883,4773.74583,4831.26084,3680.96064,6326.6511,6384.16611,6556.71114,7476.9513,6671.74116,6959.31621,6499.19613
1314567,ANA,86038,314.42,2/6/2022,72.15939,72.15939,20.12288,120.42286,60.05422,41.50344,68.85798,65.39936,72.94544,41.50344,57.53886,120.42286,26.09686,26.41128,20.12288,34.5862,34.90062,35.84388,40.8746,36.47272,38.04482,35.52946
1612102,HE-EYE FOREIGNBDY CR,70030,346.12,2/6/2022,79.43454,79.43454,22.15168,132.56396,66.10892,45.68784,75.80028,71.99296,80.29984,45.68784,63.33996,132.56396,28.72796,29.07408,22.15168,38.0732,38.41932,39.45768,44.9956,40.14992,41.88052,39.11156
