Item #,CPT/HCPCS Code,Description,Modifier,NDC,UOM,NRV,Gross Charge,Cash price,Min insurance pmt,Max insurance pmt,"AARP/UHC MHMO - AARP Medicare Advantage Plans, Dual Complete Special Needs Plans, UnitedHealthcare Medicare Advantage PASSPORT, UnitedHealthcare Medicare Advantage PPO","Aetna Commercial - HMO, POS, PPO EPO, HDHP","Ambetter - Ambetter Bronze, Silver, and Gold plans",Amerigroup - TennCare,"Amerivantage MHMO - Amerivantage Balance Plus (HMO), Amerivantage Classic Plus (HMO-POS), Amerivantage Full Dual Coordination (HMO D-SNP), Amerivantage Dual Premier (HMO D-SNP), Amerivantage Classic (HMO), Amerivantage Balance, Dual Coordination (HMO D-SNP)",Beechstreet - PPO,Blount County Government Cigna via Allegiance,Blue Cross Networks P&S,BlueCare - TennCare,"BlueAdvantage MHMO - BlueAdvantage Sapphire (PPO), BlueAdvantage Freedom (PPO), BlueCare Plus (HMO D-SNP), BlueCare Plus Choice (HMO D-SNP), BlueAdvantage Emerald (PPO), BlueAdvantage Ruby (PPO), BlueAdvantage Diamond (PPO)","Cigna - Connect, HMO, Indemnity, LocalPlus, OAP/Open Access Plus, PPO",Coventry - PPO,"Humana - HMO, Indemnity, POS, PPO","Humana Gold Plus HMO, HumanaChoice PPO, HumanaChoice Regional PPO, Humana Gold Plus SNP-DE",Multiplan - PPO,TennCare Select - TennCare,Three Rivers - PPO,UHC Community Plan - TennCare,"UnitedHealthcare - All Savers Health Plan, Heritage/UHC of the River Valley, Sures, TN Individual Exchange Benefit Plan, UHC Choice/Choice Plus, UHC Choice Advanced/Choice Plus Advanced, UHC Core/Core Essential, UHC EDGE, UHC Navigate, UHC Options PPO","WellCare - Wellcare Dual Access (HMO D-SNP), Wellcare Giveback Open (PPO), Wellcare No Premium (HMO-POS), Wellcare No Premium (PPO), Wellcare Assist (HMO), Wellcare Giveback (HMO), Wellcare Patriot Giveback (HMO-POS)"
3012011,94760,NONINVASIVE EAR PULSE OX SINGLE,,,,0460,$169.00,$57.46,$2.65,$169.00,N/A,$152.10,N/A,N/A,N/A,$141.96,$92.95,$11.73,$9.92,N/A,$82.64,$121.68,$2.65,N/A,$135.20,$11.34,$135.20,$0.00,$169.00,N/A
3012012,94760,NONINVASIVE EAR PULSE OX MULTIPLE,,,,0460,$169.00,$57.46,$2.65,$169.00,N/A,$152.10,N/A,N/A,N/A,$141.96,$92.95,$11.73,$9.92,N/A,$82.64,$121.68,$2.65,N/A,$135.20,$11.34,$135.20,$0.00,$169.00,N/A
3012013,96361,IV INFUS HYDRATION ADDL HR,XU,,,0260,$142.00,$48.28,$12.45,$127.80,N/A,$127.80,N/A,N/A,N/A,$119.28,$78.10,$99.00,$16.24,N/A,$69.44,$102.24,$16.45,N/A,$113.60,$18.55,$113.60,$12.45,$54.00,N/A
3012014,96360,IV INFUS HYD INIT 31MIN-1HR,XU,,,0260,$513.00,$174.42,$36.84,$461.70,N/A,$461.70,N/A,N/A,N/A,$430.92,$282.15,$99.00,$55.55,N/A,$250.86,$369.36,$42.55,N/A,$410.40,$63.47,$410.40,$36.84,$54.00,N/A
3012015,96361,IV INFUS HYDRATION ADDL HR,,,,0260,$142.00,$48.28,$12.45,$127.80,N/A,$127.80,N/A,N/A,N/A,$119.28,$78.10,$99.00,$16.24,N/A,$69.44,$102.24,$16.45,N/A,$113.60,$18.55,$113.60,$12.45,$54.00,N/A
3012016,96360,IV INFUS HYD INIT 31MIN-1HR,,,,0260,$513.00,$174.42,$36.84,$461.70,N/A,$461.70,N/A,N/A,N/A,$430.92,$282.15,$99.00,$55.55,N/A,$250.86,$369.36,$42.55,N/A,$410.40,$63.47,$410.40,$36.84,$54.00,N/A
3012017,96365,IV ADMIN MEDICATION INITIAL HOUR,,,,0260,$524.00,$178.16,$54.00,$471.60,N/A,$471.60,N/A,N/A,N/A,$440.16,$288.20,$99.00,$67.77,N/A,$256.24,$377.28,$85.68,N/A,$419.20,$77.42,$419.20,$64.31,$54.00,N/A
3012018,96365,IV ADMIN MEDICATION INITIAL HOUR,XU,,,0260,$524.00,$178.16,$54.00,$471.60,N/A,$471.60,N/A,N/A,N/A,$440.16,$288.20,$99.00,$67.77,N/A,$256.24,$377.28,$85.68,N/A,$419.20,$77.42,$419.20,$64.31,$54.00,N/A
3012019,96366,IV ADMIN MEDICATION ADDL HOUR,,,,0260,$94.00,$31.96,$12.45,$94.00,N/A,$84.60,N/A,N/A,N/A,$78.96,$51.70,$94.00,$21.94,N/A,$45.97,$67.68,$26.60,N/A,$75.20,$25.06,$75.20,$12.45,$54.00,N/A
3012020,96366,IV ADMIN MEDICATION ADDL HOUR,XU,,,0260,$94.00,$31.96,$12.45,$94.00,N/A,$84.60,N/A,N/A,N/A,$78.96,$51.70,$94.00,$21.94,N/A,$45.97,$67.68,$26.60,N/A,$75.20,$25.06,$75.20,$12.45,$54.00,N/A
3012021,96367,IV ADMIN ADDL SEQ MEDICATION,,,,0260,$117.00,$39.78,$18.07,$105.30,N/A,$105.30,N/A,N/A,N/A,$98.28,$64.35,$99.00,$34.38,N/A,$57.21,$84.24,$37.79,N/A,$93.60,$39.28,$93.60,$18.07,$54.00,N/A
3012022,96367,IV ADMIN ADDL SEQ MEDICATION,XU,,,0260,$117.00,$39.78,$18.07,$105.30,N/A,$105.30,N/A,N/A,N/A,$98.28,$64.35,$99.00,$34.38,N/A,$57.21,$84.24,$37.79,N/A,$93.60,$39.28,$93.60,$18.07,$54.00,N/A
3012023,96368,IV ADMIN CONCURRENT MEDICATION,,,,0260,$85.00,$28.90,$20.48,$85.00,N/A,$76.50,N/A,N/A,N/A,$71.40,$46.75,$85.00,$20.48,N/A,$41.57,$61.20,$25.34,N/A,$68.00,$23.40,$68.00,$0.00,$54.00,N/A
3012024,96368,IV ADMIN CONCURRENT MEDICATION,XU,,,0260,$85.00,$28.90,$20.48,$85.00,N/A,$76.50,N/A,N/A,N/A,$71.40,$46.75,$85.00,$20.48,N/A,$41.57,$61.20,$25.34,N/A,$68.00,$23.40,$68.00,$54.00,$54.00,N/A
3012025,96372,THERAP/PRO/DX INJ SQ/IM,,,,0260,$146.00,$49.64,$12.45,$131.40,N/A,$131.40,N/A,N/A,N/A,$122.64,$80.30,$99.00,$21.18,N/A,$71.39,$105.12,$17.24,N/A,$116.80,$24.20,$116.80,$12.45,$54.00,N/A
3012026,96372,THERAP/PRO/DX INJ SQ/IM,XU,,,0260,$146.00,$49.64,$12.45,$131.40,N/A,$131.40,N/A,N/A,N/A,$122.64,$80.30,$99.00,$21.18,N/A,$71.39,$105.12,$17.24,N/A,$116.80,$24.20,$116.80,$12.45,$54.00,N/A
3012027,96374,IV PUSH INITIAL,,,,0260,$443.00,$150.62,$18.07,$398.70,N/A,$398.70,N/A,N/A,N/A,$372.12,$243.65,$99.00,$53.81,N/A,$216.63,$318.96,$49.08,N/A,$354.40,$61.48,$354.40,$18.07,$54.00,N/A
3012028,96374,IV PUSH INITIAL,XU,,,0260,$443.00,$150.62,$18.07,$398.70,N/A,$398.70,N/A,N/A,N/A,$372.12,$243.65,$99.00,$53.81,N/A,$216.63,$318.96,$49.08,N/A,$354.40,$61.48,$354.40,$18.07,$54.00,N/A
3012029,96375,IV PUSH SEQUENTIAL,,,,0260,$270.00,$91.80,$18.07,$243.00,N/A,$243.00,N/A,N/A,N/A,$226.80,$148.50,$99.00,$23.37,N/A,$132.03,$194.40,$20.14,N/A,$216.00,$26.70,$216.00,$18.07,$54.00,N/A
3012030,96375,IV PUSH SEQUENTIAL,XU,,,0260,$270.00,$91.80,$18.07,$243.00,N/A,$243.00,N/A,N/A,N/A,$226.80,$148.50,$99.00,$23.37,N/A,$132.03,$194.40,$20.14,N/A,$216.00,$26.70,$216.00,$18.07,$54.00,N/A
3012031,96376,IV PUSH SEQUENTIAL SAME MEDICATION,,,,0260,$237.00,$80.58,$12.40,$213.30,N/A,$213.30,N/A,N/A,N/A,$199.08,$130.35,$99.00,$13.56,N/A,$115.89,$170.64,$12.40,N/A,$189.60,$15.49,$189.60,$0.00,$54.00,N/A
3012032,96376,IV PUSH SEQUENTIAL SAME MEDICATION,XU,,,0260,$237.00,$80.58,$12.40,$213.30,N/A,$213.30,N/A,N/A,N/A,$199.08,$130.35,$99.00,$13.56,N/A,$115.89,$170.64,$12.40,N/A,$189.60,$15.49,$189.60,$0.00,$54.00,N/A
3012046,96523,IRRIGAT IMPLANT VEN ACCESS DEV,,,,0260,$95.00,$32.30,$27.33,$95.00,N/A,$85.50,N/A,N/A,N/A,$79.80,$52.25,$95.00,$27.33,N/A,$46.46,$68.40,$33.42,N/A,$76.00,$31.22,$76.00,$54.00,$54.00,N/A
3015011,G0379,DIRECT ADM OBSERVATION CARE,,,,0762,$68.00,$23.12,$14.27,$68.00,N/A,$61.20,N/A,N/A,N/A,$57.12,$61.00,$68.00,$14.27,N/A,$65.00,$48.96,$65.00,N/A,$54.40,N/A,$54.40,$61.00,$61.00,N/A
3100001,,INTERMED RM CHG 1-N,,,,0214,"$2,717.00",$923.78,"$2,173.60","$2,445.30",N/A,"$2,445.30",N/A,N/A,N/A,"$2,282.28",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$2,173.60",N/A,"$2,173.60",N/A,N/A,N/A
