file_create_date,run_id,name,tax_id,code,code.type,code.description,payer,patient_class,gross.charge,de.identified.minimum.negotiated.charge,payer.specific.negotiated.charge,de.identified.maximum.negotiated.charge,discounted.cash.price
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0270,revCode,Medical/Surgical Supplies and Devices General,aetna,I,294.64,96.00,165.14,14683.76,147.32
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,94727,cpt,Determination of lung volumes using gas dilution or washout,aetna,O,204.00,32.39,177.65,177.65,102.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,22552,cpt,"Fusion of spine bones with removal of disc in upper spinal column below second vertebra of neck , anterior approach",aetna,O,53851.82,10872.21,17575.56,25894.46,26925.91
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,G0277,cpt,"hbot, full body chamber, 30m",aetna,O,354.00,50.95,300.90,834.00,177.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93970,cpt,Ultrasound scan of veins of both arms or legs including assessment of compression and functional maneuvers,aetna,O,756.00,169.18,642.60,642.60,378.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J1650,cpt,inj enoxaparin sodium,aetna,O,7.03,1.79,23.89,23.89,3.52
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,639,ms-drg,diabetes without cc/mcc,aetna,I,7907.41,3570.00,3570.00,5660.70,3953.71
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0258,revCode,Pharmacy IVsolutions,aetna,I,62.50,27.81,39.24,218.50,31.25
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,99283,cpt,"Emergency department visit, moderately severe problem",aetna,E,750.00,199.77,637.50,656.00,375.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,86036,cpt,Screening test for antineutrophil cytoplasmic antibody,aetna,O,69.00,21.09,58.65,58.65,34.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0309,revCode,Laboratory Other,aetna,O,87.00,4.72,73.95,73.95,43.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,438,ms-drg,disorders of pancreas except malignancy with mcc,aetna,I,21471.00,4565.00,4565.00,16984.38,10735.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82553,cpt,"Creatine kinase (cardiac enzyme) level, MB fraction only",aetna,O,83.00,12.13,70.55,70.55,41.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,55866,cpt,Removal of Prosate and Lymph Nodes,aetna,O,13984.98,4560.25,10679.68,10784.00,6992.49
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,19301,cpt,Partial removal of breast,aetna,O,8661.26,2570.50,6670.19,6670.19,4330.63
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,L3670,cpt,"so acro/clav can web pre ots;; Prosthetics, Orthotics, and Supplies",aetna,O,374.76,55.29,318.55,396.90,187.38
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,62328,cpt,Diagnostic spinal tap of lower spine using imaging guidance,aetna,O,1434.50,170.12,1426.30,1426.30,717.25
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J1756,cpt,iron sucrose injection,aetna,O,2.93,371.50,371.50,371.50,1.47
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,20501,cpt,Injection of abnormal muscle drainage tract for X-ray study,aetna,O,908.00,771.80,771.80,771.80,454.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0278,revCode,Medical/Surgical Supplies and Devices Other implants,aetna,O,3125.00,287.81,2212.84,4515.00,1562.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93312,cpt,Insertion of probe in esophagus for heart ultrasound examination including interpretation and report,aetna,O,826.00,186.70,702.10,702.10,413.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,52332,cpt,Insertion of stent in urinary duct (ureter) using an endoscope,aetna,O,8111.55,2313.00,13947.73,13947.73,4055.78
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,85613,cpt,"Clotting factor X assessment test, diluted",aetna,O,28.00,9.87,40.38,40.38,14.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82384,cpt,Catecholamines (organic nitrogen) level,aetna,O,96.00,23.93,81.60,81.60,48.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93454,cpt,Insertion of catheter for imaging of heart including imaging interpretation and supervision and injection,aetna,O,7897.25,2516.70,4648.47,4942.08,3948.63
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0611,revCode,Magnetic Resonance Technology (MRT) Brain/brain stem,aetna,O,2526.00,319.57,2147.10,2147.10,1263.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93880,cpt,Ultrasound scanning of blood flow (outside the brain) on both sides of head and neck,aetna,O,615.00,120.38,522.75,522.75,307.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,83497,cpt,Hydroxyindolacetic acid (product of metabolism) level,aetna,O,44.00,12.22,37.40,37.40,22.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,84450,cpt,"Liver enzyme (SGOT), level",aetna,O,36.00,4.91,30.60,30.60,18.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93225,cpt,Heart rhythm tracing of 48-hour EKG,aetna,O,521.00,35.36,442.85,442.85,260.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,A9537,cpt,tc99m mebrofenin,aetna,O,117.01,69.69,99.46,117.01,58.51
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95912,cpt,"Nerve transmission studies, 11-12 studies",aetna,O,1474.00,140.85,1252.90,1252.90,737.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,53500,cpt,Release of bladder canal (urethra) scar tissue using an endoscope,aetna,O,6498.66,3785.56,5389.79,5389.79,3249.33
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,92507,cpt,"Treatment of speech, language, voice, communication, and/or hearing processing disorder",aetna,O,167.00,73.92,141.95,148.00,83.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,87506,cpt,"Detection test by nucleic acid for digestive tract pathogen, multiple types or subtypes, 6-11 targets",aetna,O,436.00,249.21,370.60,432.05,218.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,63035,cpt,Partial removal of bone with release of spinal cord or spinal nerves in upper or lower spine,aetna,O,12903.67,4018.50,11384.35,11384.35,6451.84
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0943,revCode,Medical Rehabilitation Day Program Cardiac rehabilitation,aetna,O,138.00,82.52,117.30,163.00,69.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J2790,cpt,rho d immune globulin inj,aetna,O,200.00,68.00,170.00,170.00,100.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0361,revCode,Operating Room Services Minor surgery,aetna,O,2907.00,191.00,1048.90,2057.45,1453.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82397,cpt,Analysis using chemiluminescent technique (light and chemical )reaction,aetna,O,41.00,13.38,34.85,34.85,20.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,A4648,cpt,implantable tissue marker;; Medical and Surgical Supplies - Other Supplies,aetna,O,799.47,45.00,679.55,679.55,399.74
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82043,cpt,Urine microalbumin (protein) level,aetna,O,17.00,3.71,14.45,14.45,8.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0250,revCode,Pharmacy General,aetna,O,0.15,0.03,23.19,580.18,0.08
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0333,revCode,Radiology Therapeutic and/of Chemotherapy Administration Radiation therapy,aetna,O,493.00,164.00,403.75,3437.00,246.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95811,cpt,Sleep monitoring of patient (6 years or older) in sleep lab with continued pressured respiratory assistance by mask or breathing tube,aetna,O,3386.00,532.62,2878.10,2878.10,1693.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J7512,cpt,prednisone ir or dr oral 1mg,aetna,O,0.09,0.01,2.55,2.55,0.05
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,72110,cpt,"X-Ray of Lower Back, 4 views",aetna,O,416.00,61.94,353.60,353.60,208.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,77002,cpt,Fluoroscopic guidance for insertion of needle,aetna,O,205.00,39.00,174.25,174.25,102.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,42826,cpt,Removal of tonsils patient age 12 or over,aetna,O,4924.02,1791.00,14789.96,14789.96,2462.01
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J2210,cpt,methylergonovin maleate inj,aetna,O,114.77,20.54,97.55,97.55,57.39
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0391,revCode,"Administration, Processing and Storage for Blood and Blood Components Administration (e.g., transfusions)",aetna,O,359.00,154.89,305.15,353.68,179.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95805,cpt,Diagnostic test for sleep disorder,aetna,O,1824.00,427.76,1550.40,1550.40,912.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,38900,cpt,Lymph node imaging during surgery,aetna,O,13451.84,4369.75,8676.53,8676.53,6725.92
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,93351,cpt,"Ultrasound examination and continuous monitoring of the heart performed during rest, exercise, and/or drug-induced stress with interpretation and report",aetna,O,1345.00,164.95,1143.25,1143.25,672.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0110,revCode,Room and Board Private (one bed) General,aetna,I,13.00,13.00,900.00,1026.50,6.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0300,revCode,Laboratory General,aetna,O,15.00,3.00,100.00,100.00,7.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0410,revCode,Respiratory Services General,aetna,I,592.50,125.00,387.55,387.75,296.25
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,72196,cpt,MRI scan of pelvis with contrast,aetna,O,1777.00,365.44,1510.45,1510.45,888.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,58662,cpt,Destruction or removal of ovary or pelvic growths using an endoscope,aetna,O,13013.28,3655.50,12651.98,12651.98,6506.64
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,78804,cpt,"Nuclear medicine localization of tumor or inflammation or study of distribution of radioactive tracer in whole body, 2 or more days imaging",aetna,O,1769.00,846.00,1701.70,1701.70,884.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,88374,cpt,"Microscopic genetic analysis of tissue, computer-assisted technology, initial procedure, each multiplex procedure",aetna,O,590.00,75.00,805.80,805.80,295.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97163,cpt,"Evaluation of physical therapy, typically 45 minutes",aetna,O,182.00,95.99,154.70,154.70,91.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,89321,cpt,Semen analysis for sperm presence,aetna,O,87.00,11.42,73.95,73.95,43.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,72170,cpt,"X-ray of pelvis, 1 or 2 views",aetna,O,219.00,32.13,186.15,186.15,109.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,71250,cpt,CT scan chest,aetna,O,1590.00,90.82,1351.50,1351.50,795.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,381,ms-drg,complicated peptic ulcer with cc,aetna,I,13359.98,6330.64,8250.23,9921.04,6679.99
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,22853,cpt,Insertion of device into intervertebral disc space of spine and fusion of vertebrae,aetna,O,53567.96,10864.77,17575.56,29015.87,26783.98
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,71260,cpt,CT scan chest with contrast,aetna,O,1868.00,113.47,793.90,793.90,934.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,77301,cpt,Management of modulation radiotherapy planning,aetna,O,3632.00,505.00,1095.72,3632.00,1816.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J1250,cpt,inj dobutamine hcl/250 mg,aetna,O,101.33,16.43,178.28,178.28,50.67
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,29881,cpt,Knee Scope - ONE KNEE ,aetna,O,6268.62,1993.00,7355.41,7355.41,3134.31
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,208,ms-drg,respiratory system diagnosis with ventilator support <=96 hours,aetna,I,44774.94,10753.50,34908.59,34908.59,22387.47
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,99281,cpt,"Emergency department visit, self limited or minor problem",aetna,E,325.00,63.03,276.25,414.00,162.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82310,cpt,"Calcium level, total",aetna,O,37.00,5.16,37.83,37.83,18.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,C1771,cpt,"rep dev, urinary, w/sling",aetna,O,4400.00,1012.00,3740.00,4400.00,2200.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J2930,cpt,methylprednisolone injection,aetna,O,59.00,5.64,39.51,39.51,29.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97161,cpt,"Evaluation of physical therapy, typically 20 minutes",aetna,O,182.00,72.67,154.70,182.00,91.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,64721,cpt,Release and/or relocation of median nerve of hand,aetna,O,4070.50,1408.00,3423.56,3423.56,2035.25
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0740,revCode,EEG Electroencephalogram General,aetna,O,679.00,74.79,544.00,709.58,339.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,89050,cpt,Body fluid cell count,aetna,O,34.00,4.47,40.80,40.80,17.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J3301,cpt,triamcinolone acet inj nos,aetna,O,14.75,0.42,12.54,12.54,7.38
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0636,revCode,Pharmacy - Extension of 025X Drugs requiring detailed coding,aetna,O,186.32,0.45,3.92,87.89,93.16
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,84402,cpt,"Testosterone (hormone) level, free",aetna,O,60.00,15.39,48.43,48.43,30.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,38222,cpt,Diagnostic aspirations and biopsies of bone marrow,aetna,O,6918.40,1070.00,3204.72,3204.72,3459.20
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J0131,cpt,acetaminophen injection,aetna,O,2.75,0.84,2.34,198.09,1.38
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0636,revCode,Pharmacy - Extension of 025X Drugs requiring detailed coding,aetna,I,105.30,6.68,6.68,152.25,52.65
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97112,cpt,"Therapeutic procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",aetna,O,50.00,26.18,32.30,46.45,25.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,565,ms-drg,other musculoskeletal system and connective tissue diagnoses with cc,aetna,I,10862.34,3652.00,3652.00,6259.47,5431.17
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,57065,cpt,Destruction of multiple vaginal growths,aetna,O,4279.33,1161.57,3435.54,3435.54,2139.67
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,85300,cpt,Antithrombin III antigen (clotting inhibitor) activity,aetna,O,85.00,11.85,72.25,72.25,42.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,236,ms-drg,coronary bypass without cardiac catheterization without mcc,aetna,I,91902.37,5370.00,5370.00,51170.85,45951.19
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97165,cpt,"Evaluation of occupational therapy, typically 30 minutes",aetna,O,182.00,58.15,154.70,182.00,91.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97164,cpt,"Re-evaluation of physical therapy, typically 20 minutes",aetna,O,78.00,58.12,66.30,76.18,39.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,70544,cpt,MRA scan of head blood vessels,aetna,O,1069.00,212.40,908.65,1025.00,534.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0440,revCode,Occupational Therapy General,aetna,O,167.00,22.27,141.95,141.95,83.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95819,cpt,"Measurement and recording of brain wave (EEG) activity, awake and asleep",aetna,O,679.00,229.57,577.15,577.15,339.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,77417,cpt,Therapeutic radiology port films,aetna,O,65.00,18.40,55.25,55.25,32.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,83090,cpt,Homocysteine (amino acid) level,aetna,O,52.00,17.92,34.00,34.00,26.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0614,revCode,Magnetic Resonance Technology (MRT) Other MRI,aetna,O,1777.00,203.67,1510.45,1510.45,888.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,A9562,cpt,tc99m mertiatide,aetna,O,568.30,284.15,483.06,568.30,284.15
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,27486,cpt,Revision of one component of total knee joint prosthesis,aetna,O,25033.33,4505.00,8799.53,19570.00,12516.67
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0320,revCode,Radiology Diagnostic General,aetna,O,248.00,21.43,210.80,210.80,124.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,77067,cpt,"Mammography, screening, bilateral ",aetna,O,234.00,86.08,198.90,198.90,117.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,50200,cpt,"Needle biopsy of kidney, accessed through the skin",aetna,O,3176.50,887.00,1992.40,1992.40,1588.25
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,70486,cpt,CT scan of face,aetna,O,1155.00,94.60,981.75,981.75,577.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,C1713,cpt,"anchor/screw bn/bn,tis/bn",aetna,O,2370.72,459.07,1865.75,6479.09,1185.36
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0614,revCode,Magnetic Resonance Technology (MRT) Other MRI,aetna,I,1777.00,203.67,1768.20,1768.20,888.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,99285,cpt,"Emergency department visit, problem with significant threat to life or function",aetna,E,1144.00,315.77,584.80,1144.00,572.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0272,revCode,Medical/Surgical Supplies and Devices Sterile,aetna,O,495.00,145.10,709.73,4972.20,247.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,97140,cpt,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",aetna,O,50.00,20.79,42.50,50.00,25.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82040,cpt,Albumin (protein) level,aetna,O,34.00,4.69,28.90,28.90,17.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,86596,cpt,Measurement of voltage-gated calcium channel antibody,aetna,O,37.00,31.45,31.45,34.96,18.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J3370,cpt,vancomycin hcl injection,aetna,O,62.17,9.40,52.85,62.17,31.09
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,C8930,cpt,"tte w or w/o contr, cont ecg",aetna,O,1345.00,608.72,1143.25,1143.25,672.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82042,cpt,"Cerebrospinal fluid, or amniotic fluid albumin (protein) level",aetna,O,17.00,6.60,20.40,20.40,8.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0255,revCode,Pharmacy Drugs incident to radiology,aetna,O,5.92,1.43,4.44,216.59,2.96
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,87149,cpt,"Identification of organisms by genetic analysis, direct probe technique",aetna,O,843.50,18.38,1271.60,1271.60,421.75
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0341,revCode,Nuclear Medicine Diagnostic,aetna,O,2257.00,316.50,1918.45,1918.45,1128.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,92960,cpt,External shock to heart to regulate heart beat,aetna,O,498.00,204.84,577.58,577.58,249.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0120,revCode,Room and Board Semiprivate (two beds) General,aetna,I,1007.00,296.48,900.00,1007.00,503.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,95886,cpt,Needle measurement and recording of electrical activity of muscles of arm or leg complete study,aetna,O,474.00,54.83,402.90,402.90,237.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0352,revCode,CT Scan Body scan,aetna,O,1084.00,155.00,921.40,921.40,542.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,87116,cpt,Culture for acid-fast bacilli,aetna,O,78.00,10.23,92.65,92.65,39.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,0300,revCode,Laboratory General,aetna,I,128.00,32.44,37.63,83.00,64.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,G0480,cpt,drug test def 1-7 classes,aetna,O,130.00,34.17,110.50,117.86,65.00
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,J2785,cpt,regadenoson injection,aetna,O,207.00,53.95,175.95,298.08,103.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,82175,cpt,Arsenic level,aetna,O,55.00,18.97,46.75,46.75,27.50
2022-08-03,565f528a-1339-11ed-a584-536ad537c29c,Parkwest Medical Center,581897274,70496,cpt,CT scan of blood vessel of head with contrast,aetna,O,2613.00,156.59,2221.05,2221.05,1306.50
